date,code,name,title,body,source,url,provider
2026-06-27,601012,隆基绿能,隆基绿能：等待周期反转,作为这个行业曾经的王者，隆基绿能（601012.SH）是当下最具代表性的样本。 今年一季度，隆基绿能营收111.9亿元，同比下滑18%；营业成本113.2亿元，已经高于营业收入；净亏损近20亿元，经营现金流净流出24.5亿元，同比恶化40%。,红星资本局,http://finance.eastmoney.com/a/202606273785437460.html,akshare
2026-06-18,601012,隆基绿能,硅能源概念下跌2.38%，主力资金净流出54股,18685.79 601636 旗滨集团 -7.27 14.42 -16476.28 300821 东岳硅材 -3.08 8.68 -15533.23 605358 立昂微 -1.06 11.33 -14652.59 603260 合盛硅业 -3.26 2.51 -12274.30 601012,证券时报网,http://finance.eastmoney.com/a/202606183776183153.html,akshare
2026-06-17,601012,隆基绿能,87.40亿元主力资金今日撤离电力设备板块,-16641.67 002245 蔚蓝锂芯 -1.48 5.60 -16305.53 688772 珠海冠宇 -4.65 7.82 -13174.38 002709 天赐材料 1.09 7.61 -12889.09 002812 恩捷股份 0.87 3.96 -12751.17 601012,证券时报网,http://finance.eastmoney.com/a/202606173774673132.html,akshare
2026-06-18,601012,隆基绿能,解密主力资金出逃股 连续5日净流出383股,4.19 5.16 -10.02 600699 均胜电子 7 4.12 6.86 -4.42 300251 光线传媒 13 4.07 6.69 -12.25 300339 润和软件 7 3.99 5.42 -4.33 600936 北投科技 11 3.94 6.02 -29.03 601012,证券时报网,http://finance.eastmoney.com/a/202606183776184211.html,akshare
2026-06-16,601012,隆基绿能,BC电池概念涨3.50%，主力资金净流入这些股,0.11 1.58 -3748.37 -8.31 600438 通威股份 -0.44 1.15 -3910.60 -5.58 300757 罗博特科 2.10 4.39 -10346.21 -2.25 002506 协鑫集成 1.83 5.24 -10409.89 -10.28 601012,证券时报网,http://finance.eastmoney.com/a/202606163773147566.html,akshare
2026-06-16,601012,隆基绿能,电力设备行业资金流入榜：先导智能等33股净流入资金超亿元,-68126.32 300390 天华新能 -3.81 9.12 -44234.41 600869 远东股份 4.04 7.20 -23183.49 002364 中恒电气 2.11 7.63 -13204.88 688726 拉普拉斯 -5.57 8.20 -12759.18 601012,证券时报网,http://finance.eastmoney.com/a/202606163773149147.html,akshare
2026-06-26,600900,长江电力,103股获杠杆资金净买入超亿元,5.50 电子 603407 长裕集团 1.46 20540.05 37753.88 11.44 有色金属 688037 芯源微 4.72 20013.60 112628.24 1.68 电子 603618 杭电股份 4.97 19931.18 143333.21 3.63 电力设备 600900,证券时报网,http://finance.eastmoney.com/a/202606263783954036.html,akshare
2026-06-25,600900,长江电力,32.84亿元资金今日流出公用事业股,东望时代 3.13 3.30 236.68 公用事业行业资金流出榜  代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 600226 亨通股份 -1.84 14.16 -58995.79 001896 豫能控股 -9.36 13.35 -46959.78 600900,证券时报网,http://finance.eastmoney.com/a/202606253783105425.html,akshare
2026-06-25,600900,长江电力,68股获融资客大手笔净买入,机械设备 300302 同有科技 6.53 13586.31 165156.59 7.52 计算机 301358 湖南裕能 1.11 13453.38 232650.32 3.61 电力设备 688396 华润微 4.78 13444.00 185529.76 1.65 电子 600900,证券时报网,http://finance.eastmoney.com/a/202606253782332729.html,akshare
2026-06-24,600900,长江电力,长江电力的压舱石在被重新计算,长江电力（600900.SH）是这个稳定器里体量最大的一家，讨论它，本质上是在讨论中国能源转型这场变局里，较核心的一块。 从一座葛洲坝到六库联调的水电龙头 长江电力的发展轨迹，本质上是一部“控股股东建好电站、上市公司择机接手”的资产注入史。,红星资本局,http://finance.eastmoney.com/a/202606243781631219.html,akshare
2026-06-18,600900,长江电力,57.55亿元主力资金今日撤离公用事业板块,陕天然气 0.43 0.43 87.89 公用事业行业资金流出榜  代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 601991 大唐发电 -9.97 8.12 -97178.28 001896 豫能控股 -8.78 14.04 -55238.79 600900,证券时报网,http://finance.eastmoney.com/a/202606183776183211.html,akshare
2026-06-16,600900,长江电力,83股获杠杆资金净买入超亿元,5.82 电子 601958 金钼股份 9.99 60161.91 151554.28 1.67 有色金属 300476 胜宏科技 5.28 57553.42 2317263.37 7.77 电子 300857 协创数据 7.73 43609.99 652577.50 5.56 电子 600900,证券时报网,http://finance.eastmoney.com/a/202606163772444463.html,akshare
