code,name,mode,n_days,strategy_return,buyhold_return,sharpe,corr_signal_nextday,corr_signal_nextopen,corr_feat_vs_nextopen,pct_buy_days
600519,贵州茅台,intensity,115,-0.035981,-0.145224,-0.714620,0.029318,0.127910,0.174856,9.565217
600519,贵州茅台,vw7,115,-0.102714,-0.145224,-1.429365,-0.052541,-0.038475,0.073538,36.521739
600519,贵州茅台,delta7,115,-0.098797,-0.145224,-1.370371,-0.050074,-0.036182,-0.002860,36.521739
600519,贵州茅台,big7,115,-0.094779,-0.145224,-1.319378,-0.041315,-0.034213,-0.010767,33.913043
600519,贵州茅台,contra,115,0.060944,-0.145224,1.158169,0.076847,0.083395,0.174856,2.608696
600519,贵州茅台,open30_gap,115,-0.029095,-0.145224,-0.533146,-0.049108,-0.036001,0.028556,13.043478
600519,贵州茅台,combo,115,-0.095182,-0.145224,-1.329785,-0.031367,0.025074,0.073538,31.304348
600519,贵州茅台,volatile_flow,115,-0.024075,-0.145224,-0.528660,0.046000,0.011112,0.174856,16.521739
600900,长江电力,flow_pure,115,-0.016042,-0.008496,-0.386750,0.012952,0.134211,0.205948,28.695652
600900,长江电力,vw_pure,115,-0.023713,-0.008496,-0.615233,0.064883,-0.154312,-0.158161,26.086957
600900,长江电力,open30_pure,115,0.026518,-0.008496,0.450413,0.043046,0.182770,0.192131,20.000000
600900,长江电力,big_pure,115,0.007422,-0.008496,0.026248,0.056975,0.121730,0.129382,12.173913
600900,长江电力,delta_pure,115,0.002323,-0.008496,-0.168968,-0.014296,-0.000378,-0.152670,11.304348
600900,长江电力,tail_pure,115,0.045539,-0.008496,0.706276,0.069007,-0.031418,0.035463,44.347826
600900,长江电力,chg_pure,115,0.060831,-0.008496,1.095705,0.137472,0.111549,-0.157260,50.434783
600900,长江电力,flow_delta,115,0.024449,-0.008496,0.370894,-0.005743,0.089148,0.205948,27.826087
600900,长江电力,intensity,115,0.069556,-0.008496,1.440665,0.047067,0.036762,0.205948,19.130435
600900,长江电力,vw7,115,-0.021375,-0.008496,-0.676297,-0.028394,-0.172942,-0.158161,46.086957
600900,长江电力,delta7,115,-0.030608,-0.008496,-0.909493,-0.043888,-0.179043,-0.152670,45.217391
600900,长江电力,big7,115,-0.034863,-0.008496,-0.978775,-0.051786,-0.200877,0.129382,46.956522
600900,长江电力,contra,115,-0.016042,-0.008496,-0.386750,0.012952,0.134211,0.205948,28.695652
600900,长江电力,open30_gap,115,0.026518,-0.008496,0.450413,0.043046,0.182770,0.192131,20.000000
600900,长江电力,combo,115,-0.032385,-0.008496,-0.955051,0.010860,-0.174583,-0.158161,39.130435
600900,长江电力,volatile_flow,115,-0.008087,-0.008496,-0.407273,0.045381,-0.112878,0.205948,40.869565
601012,隆基绿能,flow_pure,115,-0.083525,-0.307193,-0.492015,0.035106,0.034776,-0.088119,13.043478
601012,隆基绿能,vw_pure,115,-0.140013,-0.307193,-1.193225,0.036692,-0.104944,-0.017287,8.695652
601012,隆基绿能,open30_pure,115,-0.118473,-0.307193,-1.219229,0.001595,-0.031117,0.117495,7.826087
601012,隆基绿能,big_pure,115,-0.162290,-0.307193,-1.110082,-0.061049,-0.102005,-0.101068,6.086957
601012,隆基绿能,delta_pure,115,-0.321346,-0.307193,-3.447324,-0.090447,-0.029036,0.349871,9.565217
